Time    	Lin Cylinder_BoomLift_L x
27.2004	338.4475106
27.2136	336.8623922
27.2268	336.2869887
27.24	334.8466566
27.2544	333.260434
27.2676	331.5374282
27.282	329.817438
27.2964	328.2351149
27.3108	326.360503
27.3252	324.6314119
27.3396	322.9066664
27.3552	321.1842677
27.3684	319.605112
27.3828	317.7411017
27.3984	316.1658482
27.4092	314.3037682
27.426	312.5821808
27.4404	311.0028944
27.4548	309.2858142
27.4704	307.5846524
27.4836	305.7792619
27.4992	304.2838221
27.5124	302.8155811
27.5268	301.2541982
27.54	299.8627714
27.5532	298.2632193
27.5676	296.830258
27.582	295.4225107
27.5976	294.1477246
27.612	292.7937247
27.6252	291.3379736
27.6408	289.8785651
27.6552	288.6706526
27.6696	287.2992157
27.7128	286.1912074
27.7284	285.0342615
27.744	284.0187811
27.7596	282.9325098
27.774	281.8670677
27.7884	280.9037783
27.8028	279.746488
27.8172	278.7011787
27.8316	277.634464
27.8448	276.7095419
27.8604	275.8180976
27.8748	274.9411562
27.888	274.0641698
27.9024	273.184895
27.9156	272.2375397
27.9312	271.4300881
27.9444	270.5375721
27.9588	269.5659117
27.9732	268.5884844
27.9876	267.5711565
28.002	266.5749088
28.0164	265.572092
28.0308	264.5698509
28.0452	263.6356037
28.0584	262.6866322
28.0728	261.9299798
28.0884	261.107739
28.104	260.2152124
28.1184	259.2610114
28.1328	258.285246
28.1484	257.3634029
28.1628	256.5012135
28.176	255.7258124
28.1916	254.77581
28.2048	253.6743129
28.2192	252.6583332
28.2324	251.59578
28.2468	250.655493
28.26	248.9946809
28.2732	248.1293066
28.2864	247.2115309
28.3008	246.3276565
28.3152	245.2747203
28.3284	244.3436389
28.3428	243.4549902
28.3572	242.5845997
28.3716	241.7126016
28.386	240.885122
28.4004	240.026975
28.416	238.9796971
28.4316	237.9036837
28.4448	236.942988
28.4604	236.1190773
28.4748	235.2151717
28.488	234.4093196
28.5024	233.5168912
28.5168	232.6061785
28.5324	231.849932
28.5456	231.0497361
28.56	230.2649258
28.5744	229.407097
28.5888	228.60109
28.6044	227.7601472
28.6188	226.8248285
28.632	225.9613883
28.6476	225.1225719
28.6572	224.2467674
28.6716	223.5242648
28.6824	222.7370999
28.698	222.0127973
28.7124	221.1458706
28.7268	220.3247517
28.7412	219.5595383
28.7556	216.3842935
28.77	215.3519191
28.7844	214.5264764
28.8	213.7048716
28.8156	212.8246269
28.8288	211.8767385
28.8444	210.8355653
28.8588	209.272757
28.872	208.4846054
28.8876	207.5941076
28.9008	206.7662316
28.9152	205.9747896
28.9296	205.3048307
28.944	204.634525
28.9596	203.9638458
28.9728	203.1416945
28.9884	202.3271133
29.0028	201.5285613
29.016	200.7832859
29.0304	200.084769
29.0448	199.3916523
29.0592	198.7357223
29.0736	198.0087067
29.088	197.1740883
29.1036	196.4742753
29.118	195.8334201
29.1324	195.0840156
29.1468	194.3938586
29.1612	193.6995609
29.1768	193.0135855
29.1912	192.3427167
29.2056	191.6837643
29.22	190.9582527
29.2344	189.5475417
29.2488	188.8817693
29.262	188.2123219
29.2764	187.4859292
29.2908	186.6589604
29.304	185.9175512
29.3196	185.2048242
29.3328	184.621188
29.3472	183.9813463
29.3616	183.2270586
29.376	182.5883953
29.3892	181.8999591
29.4024	181.2749844
29.4168	180.5428406
29.4312	179.9828202
29.4468	179.3111293
29.46	178.5447141
29.4744	177.7937047
29.49	177.0857961
29.5032	176.2926781
29.5176	175.5598934
29.5308	174.8371935
29.5452	174.1787811
29.5608	173.5661417
29.574	172.8060066
29.5896	171.9721468
29.604	170.9751773
29.6172	170.1450583
29.6328	169.3677706
29.6472	168.652
29.6628	167.929301
29.6748	167.1900933
29.6892	166.4979203
29.7036	165.8770186
29.718	165.2238973
29.7336	164.6439264
29.748	164.0183396
29.7624	163.4282456
29.778	162.7550223
29.7924	162.0674325
29.8068	160.7530298
29.8212	160.066998
29.8356	159.3760324
29.85	158.7410508
29.8644	158.0340678
29.8788	157.2607378
29.892	156.5524768
29.9064	155.8816546
29.9208	155.2577841
29.9352	154.6404212
29.9496	154.0288154
29.964	153.4231971
29.9784	152.8100984
29.994	152.1388569
30.006	151.5456442
30.0216	150.9787509
